Sales,Date,Region
1638.0,2018-02-06 00:00:00,north
1647.0,2018-02-06 00:00:00,south
1731.0,2018-02-06 00:00:00,east
1557.0,2018-02-06 00:00:00,west
1587.0,2018-02-07 00:00:00,north
1698.0,2018-02-07 00:00:00,south
1542.0,2018-02-07 00:00:00,east
1635.0,2018-02-07 00:00:00,west
1602.0,2018-02-08 00:00:00,north
1536.0,2018-02-08 00:00:00,south
1503.0,2018-02-08 00:00:00,east
1701.0,2018-02-08 00:00:00,west
1758.0,2018-02-09 00:00:00,north
1662.0,2018-02-09 00:00:00,south
1782.0,2018-02-09 00:00:00,east
1515.0,2018-02-09 00:00:00,west
1662.0,2018-02-10 00:00:00,north
1557.0,2018-02-10 00:00:00,south
1650.0,2018-02-10 00:00:00,east
1674.0,2018-02-10 00:00:00,west
1554.0,2018-02-11 00:00:00,north
1587.0,2018-02-11 00:00:00,south
1563.0,2018-02-11 00:00:00,east
1764.0,2018-02-11 00:00:00,west
1758.0,2018-02-12 00:00:00,north
1608.0,2018-02-12 00:00:00,south
1569.0,2018-02-12 00:00:00,east
1653.0,2018-02-12 00:00:00,west
1572.0,2018-02-13 00:00:00,north
1716.0,2018-02-13 00:00:00,south
1773.0,2018-02-13 00:00:00,east
1725.0,2018-02-13 00:00:00,west
1767.0,2018-02-14 00:00:00,north
1710.0,2018-02-14 00:00:00,south
1698.0,2018-02-14 00:00:00,east
1512.0,2018-02-14 00:00:00,west
1746.0,2018-02-15 00:00:00,north
1734.0,2018-02-15 00:00:00,south
1524.0,2018-02-15 00:00:00,east
1614.0,2018-02-15 00:00:00,west
1578.0,2018-02-16 00:00:00,north
1782.0,2018-02-16 00:00:00,south
1527.0,2018-02-16 00:00:00,east
1752.0,2018-02-16 00:00:00,west
1785.0,2018-02-17 00:00:00,north
1689.0,2018-02-17 00:00:00,south
1641.0,2018-02-17 00:00:00,east
1575.0,2018-02-17 00:00:00,west
1644.0,2018-02-18 00:00:00,north
1674.0,2018-02-18 00:00:00,south
1551.0,2018-02-18 00:00:00,east
1737.0,2018-02-18 00:00:00,west
1563.0,2018-02-19 00:00:00,north
1647.0,2018-02-19 00:00:00,south
1605.0,2018-02-19 00:00:00,east
1539.0,2018-02-19 00:00:00,west
1698.0,2018-02-20 00:00:00,north
1575.0,2018-02-20 00:00:00,south
1500.0,2018-02-20 00:00:00,east
1551.0,2018-02-20 00:00:00,west
1737.0,2018-02-21 00:00:00,north
1542.0,2018-02-21 00:00:00,south
1665.0,2018-02-21 00:00:00,east
1548.0,2018-02-21 00:00:00,west
1635.0,2018-02-22 00:00:00,north
1632.0,2018-02-22 00:00:00,south
1668.0,2018-02-22 00:00:00,east
1764.0,2018-02-22 00:00:00,west
1533.0,2018-02-23 00:00:00,north
1563.0,2018-02-23 00:00:00,south
1641.0,2018-02-23 00:00:00,east
1773.0,2018-02-23 00:00:00,west
1629.0,2018-02-24 00:00:00,north
1698.0,2018-02-24 00:00:00,south
1725.0,2018-02-24 00:00:00,east
1722.0,2018-02-24 00:00:00,west
1596.0,2018-02-25 00:00:00,north
1710.0,2018-02-25 00:00:00,south
1635.0,2018-02-25 00:00:00,east
1659.0,2018-02-25 00:00:00,west
1686.0,2018-02-26 00:00:00,north
1533.0,2018-02-26 00:00:00,south
